Reference area,AR:Argentina,AT:Austria,AU:Australia,BE:Belgium,BR:Brazil,CA:Canada,CH:Switzerland,CL:Chile,CN:China,CO:Colombia,DE:Germany,DK:Denmark,ES:Spain,FI:Finland,FR:France,GB:United Kingdom,HK:Hong Kong SAR,HU:Hungary,IE:Ireland,IN:India,IT:Italy,JP:Japan,KR:South Korea,LK:Sri Lanka,MX:Mexico,MY:Malaysia,NL:Netherlands,NO:Norway,NZ:New Zealand,PT:Portugal,RU:Russia,SE:Sweden,TR:Turkey,US:United States,UY:Uruguay,VE:Venezuela,XM:Euro area,XW:World,ZA:South Africa
Currency,ARS:Argentine Peso,EUR:Euro,AUD:Australian Dollar,EUR:Euro,BRL:Brazilian Real,CAD:Canadian Dollar,CHF:Swiss Franc,CLP:Chilean Peso,CNY:Yuan Renminbi,COP:Colombian Peso,EUR:Euro,DKK:Danish Krone,EUR:Euro,EUR:Euro,EUR:Euro,GBP:Pound Sterling,HKD:Hong Kong Dollar,HUF:Hungarian Forint,EUR:Euro,INR:Indian Rupee,EUR:Euro,JPY:Japanese Yen,KRW:Korean Won,LKR:Sri Lanka Rupee,MXN:Mexican Peso,MYR:Malaysian Ringgit,EUR:Euro,NOK:Norwegian Krone,NZD:New Zealand Dollar,EUR:Euro,RUB:Russian Rouble,SEK:Swedish Krona,TRY:Turkish Lira,USD:US Dollar,UYU:Uruguayan Peso,VEF:Bolivar Fuerte,EUR:Euro,XDR:SDR,ZAR:South African Rand
Collection,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period,A:Average of observations through period
Time Period,D:AR:ARS:A,D:AT:EUR:A,D:AU:AUD:A,D:BE:EUR:A,D:BR:BRL:A,D:CA:CAD:A,D:CH:CHF:A,D:CL:CLP:A,D:CN:CNY:A,D:CO:COP:A,D:DE:EUR:A,D:DK:DKK:A,D:ES:EUR:A,D:FI:EUR:A,D:FR:EUR:A,D:GB:GBP:A,D:HK:HKD:A,D:HU:HUF:A,D:IE:EUR:A,D:IN:INR:A,D:IT:EUR:A,D:JP:JPY:A,D:KR:KRW:A,D:LK:LKR:A,D:MX:MXN:A,D:MY:MYR:A,D:NL:EUR:A,D:NO:NOK:A,D:NZ:NZD:A,D:PT:EUR:A,D:RU:RUB:A,D:SE:SEK:A,D:TR:TRY:A,D:US:USD:A,D:UY:UYU:A,D:VE:VEF:A,D:XM:EUR:A,D:XW:XDR:A,D:ZA:ZAR:A
1976/08/30,,1.296252,0.803536,0.961706,,0.983649,2.473862,,,35.22,1.290112,6.059795,0.408414,0.653794,0.750522,NaN,,41.7,0.717025,9.01,0.43518,288.654172,484,8.673,0.0125,2.5138,1.196399,5.502858,1.005227,0.154191,,4.392317,NaN,1,,,0.905855,0.8687,0.8715
1976/08/31,,1.301918,0.804052,0.96369,,0.981452,2.479911,,,35.23,1.293368,6.066467,0.408219,0.654488,0.750737,0.563898,,41.7,0.715899,9.01,0.434421,289.034539,484,8.673,0.0125,2.5138,1.200101,5.506391,1.00311,0.155127,,4.407615,0.000016,1,,,0.906536,0.869,0.8715
1976/09/01,,1.297508,0.804052,0.961085,,0.977997,2.472743,,,35.23,1.289672,6.052007,0.408007,0.655179,0.751485,0.563109,,41.7,0.714483,9.01,0.434252,288.57492,484,8.673,0.0205,2.5132,1.195801,5.501254,1.002406,0.154831,,4.391963,0.000016,1,,,0.9051,0.8687,0.8715
1976/09/02,,1.289715,0.803342,0.962572,,0.977967,2.473493,,,35.23,1.290875,6.057497,0.407301,0.653075,0.752235,0.563899,,41.7,0.715796,9.01,0.434571,288.430957,484,8.673,0.0205,2.5094,1.196067,5.496894,1.003714,0.154084,,4.393782,0.000016,1,,,0.9056,0.8686,0.8715
1976/09/03,,1.29882,0.801925,0.962945,,0.980438,2.484021,,,35.23,1.29018,6.050116,0.407797,0.654637,0.752228,0.564035,,41.7,0.716072,9.01,0.434462,287.315725,484,8.673,0.0205,2.5119,1.195473,5.506818,1,0.155007,,4.401703,0.000016,1,,,0.906084,0.8689,0.8715
1976/09/06,,1.29858,NaN,0.962878,,0.97791,2.480681,,,35.23,1.290293,6.057477,0.408019,0.65433,0.751511,0.564242,,41.7,0.71644,NaN,0.434421,287.679558,484,NaN,0.0205,NaN,1.195566,5.501766,NaN,0.154996,,4.394937,0.000016,1,,,0.905715,0.8684,NaN
1976/09/07,,1.297005,0.804829,0.961822,,0.976834,2.478038,,,35.23,1.288283,6.052777,0.40782,0.653546,0.750405,0.564444,,41.7,0.716591,9.01,0.434133,287.512674,484,8.673,0.0205,2.51,1.193728,5.485624,1.003814,0.154703,,4.393594,0.000016,1,,,0.905272,0.8683,0.8715
